,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.5770522658489523,1910,1,95501
1,Run_2,0.5660661635114698,2018,0,100901
2,Run_3,0.5655566041119865,2288,0,114401
3,Run_4,0.5655797533214528,2182,0,109101
4,Run_5,0.5652817048381518,2256,0,112801
5,Run_6,0.572714948540526,3165,0,158251
6,Run_7,0.5630647951531104,1832,0,91601
7,Run_8,0.5699884663417393,2115,0,105751
8,Run_9,0.568835342824405,2378,0,118901
9,Run_10,0.5654808358054536,2328,0,116401
10,Run_11,0.5697923298582367,2738,0,136901
11,Run_12,0.5675240159385297,2637,3,131851
12,Run_13,0.5776000962724283,2258,0,112901
13,Run_14,0.5684379641915444,2253,0,112651
14,Run_15,0.579097733783752,3112,0,155601
15,Run_16,0.5747533086952517,2583,0,129151
16,Run_17,0.562610738403895,1541,0,77051
17,Run_18,0.5746932526126682,1959,0,97951
18,Run_19,0.5688709667051922,2514,0,125701
19,Run_20,0.5650941926893805,1866,0,93272
20,Run_21,0.5661817786624109,2199,0,109951
21,Run_22,0.5676732850903594,2267,2,113351
22,Run_23,0.5753128393527369,2055,0,102751
23,Run_24,0.5723024558974636,2316,0,115801
24,Run_25,0.5756978179638673,2233,0,111651
25,Run_26,0.5697286907773077,2258,0,112901
26,Run_27,0.5702330395861352,2352,0,117601
27,Run_28,0.57260284071061,2057,0,102851
28,Run_29,0.5615462222267844,1959,1,97951
29,Run_30,0.570904848473297,2349,2,117451
